comp,ivar,ipft,R2,RMSE,slope,reMSE,dNRMSE,sNRMSE,iNRMSE,f_SB,f_SDSD,f_LSC,varname,pft,var,dim,alg
som,1,2,0.9819320707768845,4.1100643214763135,0.9853581033261595,4.308042256346098e-06,0.01846115528400387,0.13441699752306452,inf,0.0012371169194020936,0.0017574261949368593,0.9970054568856612,carbon_02,PFT02,Active,asp,BaggingRegressor
som,1,3,0.9610923535382462,5.620670951693436,0.9696565621566413,9.276978173999469e-06,0.028695231435307555,0.19725021283069322,inf,0.0015795183687229858,0.0030989852346724137,0.9953214963966046,carbon_03,PFT03,Active,asp,BaggingRegressor
som,1,4,0.9651425934046637,3.282334464923932,0.9548973573839873,8.311255745192265e-06,0.01603527351851757,0.18670138348533033,inf,0.0003862492843827859,0.022611910723801608,0.9770018399918156,carbon_04,PFT04,Active,asp,BaggingRegressor
som,1,5,0.9364072087971226,7.424151383873972,0.9223633170456402,1.5162801908172955e-05,0.02747813826024361,0.25217611148337854,inf,5.727410010195975e-05,0.034653880260328396,0.9652888456395696,carbon_05,PFT05,Active,asp,BaggingRegressor
som,1,6,0.9701351868372542,7.009119827385214,0.9804439435782748,7.12084243270048e-06,0.026731598209537327,0.1728143893393887,inf,0.002672766160939346,0.0007316576871377317,0.9965955761519228,carbon_06,PFT06,Active,asp,BaggingRegressor
som,1,7,0.9699994292275609,5.850717875424666,0.9349705917222705,7.15321191522154e-06,0.03326577023937405,0.17320672842715765,inf,0.005285334874080877,0.08816983611121036,0.9065448290147087,carbon_07,PFT07,Active,asp,BaggingRegressor
som,1,8,0.9729227585554558,6.755839789432366,0.9503914146346075,6.456185370659085e-06,0.03806375244328872,0.1645516376234044,inf,0.0071001144618151905,0.0501359742889307,0.9427639112492541,carbon_08,PFT08,Active,asp,BaggingRegressor
som,1,9,0.9850106183378474,1.820179119633041,0.9504330373747546,3.5740061187774432e-06,0.02380550559441615,0.12243113028210022,inf,0.005217413861846116,0.12356916114029826,0.8712134249978557,carbon_09,PFT09,Active,asp,BaggingRegressor
som,1,10,0.9719052845308758,5.386237297126503,0.9628670752162144,6.698787665504109e-06,0.026611540584141457,0.16761478296714832,inf,1.0674040324765657e-06,0.01942053292565434,0.9805783996703132,carbon_10,PFT10,Active,asp,BaggingRegressor
som,1,11,0.9767391427406114,8.65290323238812,0.9683933097580767,5.54622252250563e-06,0.030226475970984778,0.15251510502041632,inf,0.0002603562889198687,0.017512342761747852,0.9822273009493323,carbon_11,PFT11,Active,asp,BaggingRegressor
som,1,12,0.9792056307567193,4.521089650268628,1.000953360470624,4.958123329346854e-06,0.027362938322668093,0.14420252856063484,inf,0.009380814401525023,0.00602206384089362,0.9845971217575812,carbon_12,PFT12,Active,asp,BaggingRegressor
som,1,13,0.9526508899407445,2.754139581268517,1.0348248714021189,1.128972581288876e-05,0.02128784251249923,0.21759850656485547,inf,0.003315733277857729,0.06815501611071002,0.9285292506114322,carbon_13,PFT13,Active,asp,BaggingRegressor
som,1,14,0.9047524438833809,1.7254096239489887,0.9542812708633368,2.2710433027329297e-05,0.022581438939261383,0.30862202791864857,inf,0.0014884103102117906,3.525555717577894e-05,0.9984763341326124,carbon_14,PFT14,Active,asp,BaggingRegressor
som,1,15,0.9631742358928318,6.688936519885053,0.9245227675440989,8.780582762796418e-06,0.04491754421914645,0.19190040152946053,0.1666318116777862,0.0056118041553924105,0.09421382274626561,0.9001743730983419,carbon_15,PFT15,Active,asp,BaggingRegressor
som,2,2,0.9802680182552456,120.86500524569253,0.9898771320038925,4.704812051682029e-06,0.02061965907833028,0.1404705725223416,inf,0.0012200576392292634,3.6658406441395078e-06,0.9987762765201266,carbon_02,PFT02,Passive,asp,BaggingRegressor
som,2,3,0.9697193045648732,130.830493412584,0.9859562000750861,7.220003680287734e-06,0.027544406727428368,0.1740134921065799,inf,0.002109522119851707,3.738973182231528e-05,0.9978530881483261,carbon_03,PFT03,Passive,asp,BaggingRegressor
som,2,4,0.9664195019379966,89.00846100376866,0.9329978778235145,8.006794959943567e-06,0.015852271830764188,0.18324982418000657,inf,9.658259921580769e-05,0.07911003128953706,0.9207933861112471,carbon_04,PFT04,Passive,asp,BaggingRegressor
som,2,5,0.9390263739472569,203.35033569599787,0.9181265125669962,1.4538299011145229e-05,0.028035766071208897,0.2469283824365743,inf,5.369579504009643e-06,0.04568688800517037,0.9543077424153257,carbon_05,PFT05,Passive,asp,BaggingRegressor
som,2,6,0.956934668680631,223.09918782021728,0.989014456747149,1.026831934176657e-05,0.031162729667215994,0.20752188154353507,inf,0.008126511973583406,0.0024725140748939607,0.9894009739515226,carbon_06,PFT06,Passive,asp,BaggingRegressor
som,2,7,0.9734919234639339,145.67706771395797,0.9480623057003095,6.320476045795451e-06,0.030217541160870692,0.16281301095448766,inf,0.0011022275174741387,0.058792388329983326,0.9401053841525425,carbon_07,PFT07,Passive,asp,BaggingRegressor
som,2,8,0.9679894915731851,178.7615762772419,0.940805941228761,7.632453129903405e-06,0.04114745865653415,0.1789148077348962,inf,0.01083376424117515,0.06143357508504589,0.9277326606737789,carbon_08,PFT08,Passive,asp,BaggingRegressor
som,2,9,0.984769551659895,45.53732105828585,0.9541920119789487,3.6314850596339965e-06,0.023889066136056143,0.12341170260597244,inf,0.0036833227788035943,0.09976618122386746,0.896550495997329,carbon_09,PFT09,Passive,asp,BaggingRegressor
som,2,10,0.9700059413670394,143.03071403532886,0.9767848391718594,7.151659187639624e-06,0.027136451140737063,0.17318792865832364,inf,0.0017197961150673348,0.002284732112032457,0.9959954717729002,carbon_10,PFT10,Passive,asp,BaggingRegressor
som,2,11,0.9814933554146174,219.4871233706479,0.9823494850980542,4.412647731374034e-06,0.02872733790475383,0.13603912887615346,inf,0.0026393545609874063,0.0038649502268279187,0.9934956952121846,carbon_11,PFT11,Passive,asp,BaggingRegressor
som,2,12,0.9802875735600686,111.38294134701901,1.008223177564302,4.700149365744271e-06,0.025866040515217934,0.1404009488569485,inf,0.014961750126153384,0.016026130826835763,0.969012119047011,carbon_12,PFT12,Passive,asp,BaggingRegressor
som,2,13,0.9492025524052707,81.27596660484515,1.0107054352712563,1.2111933141327925e-05,0.022837927526008623,0.2253828910869885,inf,0.001796088430574793,0.02471278446479443,0.9734911271046309,carbon_13,PFT13,Passive,asp,BaggingRegressor
som,2,14,0.864901696195804,52.22993460846428,0.9244407191804739,3.221228035388555e-05,0.02753334200675882,0.3675572116068409,inf,0.0016876006362138633,0.0004925533130898242,0.9978198460506963,carbon_14,PFT14,Passive,asp,BaggingRegressor
som,2,15,0.962491455837996,174.42920316646806,0.9223554950164486,8.943382012876485e-06,0.04626392891290329,0.193671226985332,0.18023344584909026,0.006382574968607572,0.09875579987044876,0.8948616251609436,carbon_15,PFT15,Passive,asp,BaggingRegressor
som,3,2,0.9806944632586666,181.59086498790364,0.989311452720433,4.60313227022732e-06,0.020496006612137463,0.13894436563363546,inf,0.0010514216311918515,5.6725238122371074e-05,0.9988918531306857,carbon_02,PFT02,Slow,asp,BaggingRegressor
som,3,3,0.9707987552229758,197.44750678339236,0.9843564146056287,6.962623933482166e-06,0.027258189421888023,0.17088371712080766,inf,0.0022646190445192284,3.9692947752223644e-05,0.9976956880077286,carbon_03,PFT03,Slow,asp,BaggingRegressor
som,3,4,0.9723315285619923,124.90559174860749,0.9491794966220827,6.5971558030538145e-06,0.014359291374596713,0.16633842441843585,inf,2.8730740146357937e-05,0.05136095968027073,0.948610309579583,carbon_04,PFT04,Slow,asp,BaggingRegressor
som,3,5,0.9397757862939953,309.1197264088552,0.9288943979701988,1.4359612233191403e-05,0.027942851985119057,0.24540622181600194,inf,9.364302460468447e-05,0.029113658149553766,0.9707926988258416,carbon_05,PFT05,Slow,asp,BaggingRegressor
som,3,6,0.959750649256484,332.09177224069776,0.9870037058208676,9.596888589298043e-06,0.030025426510104793,0.20062240837831652,inf,0.007043374787354696,0.0012043669267436097,0.9917522582859017,carbon_06,PFT06,Slow,asp,BaggingRegressor
som,3,7,0.9742909959663042,224.74259543091264,0.9466129692330444,6.129948505888377e-06,0.03014861698854895,0.16034027576905266,inf,0.0015052100711013313,0.06669745587402721,0.9317973340548715,carbon_07,PFT07,Slow,asp,BaggingRegressor
som,3,8,0.971988315309908,262.071544972999,0.9488691895072497,6.678990150236512e-06,0.038955823707643424,0.16736691635473225,inf,0.00729135901518128,0.051406436751169425,0.9413022042336493,carbon_08,PFT08,Slow,asp,BaggingRegressor
som,3,9,0.9849786349416852,70.9317578318745,0.9556380217316095,3.5816321073711807e-06,0.023869541595930226,0.12256167858802659,inf,0.0034775154752978593,0.09403493329910075,0.9024875512256014,carbon_09,PFT09,Slow,asp,BaggingRegressor
